PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$25,131",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,"$22,583",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,"$20,234",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$18,333",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,"$14,444",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$10,230",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$9,839",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$7,419",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$3,446",0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,-$2,0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"-$3,583",0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"-$4,300",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"-$41,374",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"-$160,693",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$592,231,129",2.42%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$242,782,462",0.99%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$189,286,541",0.77%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$177,817,768",0.73%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$68,690,796",0.28%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$59,793,116",0.24%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$46,805,835",0.19%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$44,346,702",0.18%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$34,957,385",0.14%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$33,978,422",0.14%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$29,948,309",0.12%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$29,129,076",0.12%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$25,158,135",0.10%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$23,330,091",0.10%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$21,005,745",0.09%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$18,548,862",0.08%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$17,009,646",0.07%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$13,516,013",0.06%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$13,203,229",0.05%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$12,433,621",0.05%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$9,850,865",0.04%,
FIXED INCOME,INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,"$9,839,333",0.04%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$9,191,303",0.04%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$8,830,420",0.04%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$8,443,146",0.03%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$6,979,491",0.03%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$6,827,453",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$5,868,654",0.02%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$4,456,010",0.02%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$4,374,348",0.02%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$3,720,520",0.02%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$3,361,002",0.01%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$2,654,023",0.01%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$2,267,062",0.01%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$2,109,063",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$2,040,053",0.01%,
FIXED INCOME,INTERNALLY,-,WESTPAC SECURITISATION TRUST,-,-,-,-,-,,,"$1,540,155",0.01%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$1,531,007",0.01%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$1,515,387",0.01%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$1,501,203",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$1,428,372",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$1,383,495",0.01%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$1,357,493",0.01%,
FIXED INCOME,INTERNALLY,-,REDS TRUST,-,-,-,-,-,,,"$1,154,547",0.00%,
FIXED INCOME,INTERNALLY,-,PUMA,-,-,-,-,-,,,"$1,154,008",0.00%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$1,119,579",0.00%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$1,081,441",0.00%,
FIXED INCOME,INTERNALLY,-,MEDALLION TRUST,-,-,-,-,-,,,"$1,062,920",0.00%,
FIXED INCOME,INTERNALLY,-,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,-,-,-,-,,,"$802,935",0.00%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$555,500",0.00%,
