PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$325,627",0.11%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$280,918",0.09%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$257,051",0.08%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$253,037",0.08%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$205,147",0.07%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$145,350",0.05%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$107,993",0.03%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$92,798",0.03%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$91,097",0.03%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$43,922",0.01%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$31,884",0.01%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$31,263",0.01%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$25,189",0.01%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$16,885",0.01%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$15,991,509",5.16%,
FIXED INCOME,EXTERNALLY,-,-,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,-,-,-,,,"$54,174,672",17.48%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$54,174,672",17.48%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"64,306","$9,854,848",3.18%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"20,236","$8,184,576",2.64%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"194,845","$7,706,138",2.49%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"32,717","$7,096,243",2.29%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"9,396","$6,395,966",2.06%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"18,598","$5,236,762",1.69%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"12,562","$4,451,331",1.44%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"118,069","$4,380,368",1.41%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"132,123","$4,270,225",1.38%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"114,472","$3,267,019",1.05%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"43,580","$3,117,281",1.01%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"13,905","$3,082,081",0.99%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"2,917","$2,758,578",0.89%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"3,827","$2,495,796",0.81%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"7,801","$2,385,039",0.77%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"5,902","$2,209,886",0.71%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"6,741","$2,073,383",0.67%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"72,855","$1,792,229",0.58%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"443,529","$1,778,550",0.57%,
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"14,136","$1,660,411",0.54%,
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"21,748","$1,486,723",0.48%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"3,807","$1,473,922",0.48%,
