PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGRO] - ASSETS - 2024-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$27,216",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$26,298",0.00%,
CASH,-,CITIGROUP INC.,-,-,-,USD,-,-,,,"$21,366",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$18,623",0.00%,
CASH,-,CITIGROUP INC.,-,-,-,GBP,-,-,,,"$14,311",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$12,373",0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,-$3,0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"-$33,145",0.00%,
CASH,-,CITIGROUP INC.,-,-,-,AUD,-,-,,,"-$71,345",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,SEK,-,-,,,"-$89,356",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,CHF,-,-,,,"-$156,527",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"-$350,849",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$1,782,445,013",2.12%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA LTD.,-,-,-,-,-,,,"$838,533,814",1.00%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORP.,-,-,-,-,-,,,"$633,383,786",0.75%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$488,926,602",0.58%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LTD.,-,-,-,-,-,,,"$332,770,413",0.40%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$319,397,068",0.38%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK SA,-,-,-,-,-,,,"$131,780,237",0.16%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$116,394,520",0.14%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$108,617,083",0.13%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$103,759,502",0.12%,
FIXED INCOME,INTERNALLY,-,BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$93,865,606",0.11%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$92,520,790",0.11%,
FIXED INCOME,INTERNALLY,-,BENDIGO AND ADELAIDE BANK LTD.,-,-,-,-,-,,,"$87,177,816",0.10%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$59,654,288",0.07%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$49,807,688",0.06%,
FIXED INCOME,INTERNALLY,-,SUNCORP-METWAY LTD.,-,-,-,-,-,,,"$47,528,121",0.06%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$37,838,202",0.04%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$21,383,996",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$18,833,882",0.02%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LIMITED,-,-,-,-,-,,,"$18,617,704",0.02%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$13,427,952",0.02%,
FIXED INCOME,INTERNALLY,-,PACIFIC 2023 BIDCO B PTY LTD,-,-,-,-,-,,,"$10,071,457",0.01%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$6,825,892",0.01%,
FIXED INCOME,INTERNALLY,-,HONGKONG & SHANGHAI BANKING CORP. LTD.,-,-,-,-,-,,,"$6,648,529",0.01%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$6,648,130",0.01%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$3,282,315",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT BONDS,-,-,-,-,-,,,"$3,130,887",0.00%,
FIXED INCOME,INTERNALLY,-,MACQUARIE BANK LTD.,-,-,-,-,-,,,"$2,023,999",0.00%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$1,855,154",0.00%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$874,881",0.00%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$787,475",0.00%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$587,361",0.00%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$526,565",0.00%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$490,061",0.00%,
FIXED INCOME,INTERNALLY,-,KREDITANSTALT FUER WIEDERAUFBAU,-,-,-,-,-,,,"$450,611",0.00%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$426,082",0.00%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$424,294",0.00%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$334,354",0.00%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$327,576",0.00%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$270,147",0.00%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$262,653",0.00%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$155,068",0.00%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$131,811",0.00%,
FIXED INCOME,INTERNALLY,-,LANDWIRTSCHAFTLICHE RENTENBANK,-,-,-,-,-,,,"$126,481",0.00%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$109,989",0.00%,
FIXED INCOME,INTERNALLY,-,BROADCOM CORP.,-,-,-,-,-,,,"$95,775",0.00%,
FIXED INCOME,INTERNALLY,-,KANSAS CITY SOUTHERN RAILWAY CO.,-,-,-,-,-,,,"$82,626",0.00%,
FIXED INCOME,INTERNALLY,-,"BAXTER INTERNATIONAL, INC.",-,-,-,-,-,,,"$81,617",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIAN NATIONAL UNIVERSITY,-,-,-,-,-,,,"$17,500",0.00%,
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$8,773",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$3,438",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$2,377",0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$3,661,282,948.00",4.38%,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANDANTE FINANCE COMPANY PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,APOG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ARROTEX HOLDINGS PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CIRRUS HOLDINGS 2 PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CX BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,FP TURBO WAREHOUSE TRUST 2021-1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HARRIS FARM MARKETS FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,HIREPOOL FINANCE LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,IRON MOUNTAIN AUSTRALIA GROUP PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JAYBRO GROUP,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JEROME BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,JNZ FINCO LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC HOLDING COMPANY PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,KINETIC NZ HOLDINGS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,LEGAL SOFTWARE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,MOTORONE BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NEWCOLD FINANCING PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NEXTDC LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,NZ HEALTHCARE INVESTMENTS LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PACIFIC PROPERTY FUND LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PAGAC CHICKEN TENDERS HOLDINGS I PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PEPPER FINANCE PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PIRANHA BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,PLENTI FINANCE PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,RECYCLE AND RESOURCE OPERATIONS PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,RYMAN HEALTHCARE LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,TEEG BIDCO PTY LTD,-,-,-,-,-,,,,,
